iter	Passed	Remaining
0	1	1040
1	1	672
2	1	526
3	1	455
4	2	429
5	2	413
6	2	400
7	3	380
8	3	362
9	3	348
10	3	337
11	3	328
12	4	319
13	4	312
14	4	305
15	4	300
16	5	296
17	5	294
18	5	292
19	5	289
20	6	287
21	6	284
22	6	282
23	6	280
24	7	279
25	7	277
26	7	275
27	7	274
28	8	272
29	8	271
30	8	270
31	8	269
32	9	268
33	9	267
34	9	266
35	9	265
36	10	264
37	10	263
38	10	262
39	10	261
40	11	262
41	11	261
42	11	260
43	11	259
44	12	259
45	12	258
46	12	257
47	12	256
48	13	256
49	13	256
50	13	255
51	13	254
52	14	254
53	14	253
54	14	252
55	14	252
56	15	252
57	15	251
58	15	250
59	15	250
60	16	249
61	16	248
62	16	248
63	16	247
64	17	247
65	17	246
66	17	245
67	17	245
68	18	245
69	18	244
70	18	243
71	18	243
72	19	243
73	19	243
74	19	243
75	19	242
76	20	242
77	20	241
78	20	241
79	20	241
80	21	240
81	21	239
82	21	237
83	21	237
84	22	237
85	22	237
86	22	236
87	22	235
88	23	235
89	23	234
90	23	234
91	23	234
92	23	233
93	24	233
94	24	232
95	24	232
96	24	232
97	25	231
98	25	231
99	25	231
100	25	230
101	26	230
102	26	230
103	26	230
104	26	229
105	27	229
106	27	229
107	27	229
108	27	228
109	28	228
110	28	228
111	28	227
112	28	227
113	29	227
114	29	226
115	29	226
116	29	225
117	30	225
118	30	224
119	30	224
120	30	224
121	31	223
122	31	223
123	31	223
124	31	223
125	32	222
126	32	221
127	32	221
128	32	221
129	33	221
130	33	220
131	33	220
132	33	220
133	34	220
134	34	220
135	34	219
136	34	219
137	35	219
138	35	219
139	35	219
140	36	219
141	36	220
142	36	220
143	37	220
144	37	222
145	37	222
146	38	222
147	38	222
148	38	222
149	39	222
150	39	222
151	40	223
152	40	223
153	40	223
154	41	224
155	41	225
156	41	225
157	42	225
158	42	225
159	42	225
160	43	224
161	43	223
162	43	223
163	43	223
164	44	222
165	44	222
166	44	222
167	44	221
168	44	221
169	45	220
170	45	220
171	45	220
172	45	219
173	46	219
174	46	219
175	46	218
176	46	218
177	47	217
178	47	217
179	47	217
180	48	217
181	48	216
182	48	216
183	48	216
184	48	215
185	49	215
186	49	214
187	49	214
188	49	214
189	50	213
190	50	213
191	50	213
192	51	213
193	51	212
194	51	212
195	51	212
196	52	212
197	52	211
198	52	211
199	52	211
200	53	211
201	53	210
202	53	210
203	53	210
204	54	209
205	54	209
206	54	209
207	54	208
208	55	208
209	55	208
210	55	207
211	55	207
212	56	207
213	56	206
214	56	206
215	56	206
216	57	206
217	57	205
218	57	205
219	57	204
220	58	204
221	58	204
222	58	204
223	58	203
224	59	203
225	59	203
226	59	202
227	59	202
228	60	202
229	60	201
230	60	201
231	60	201
232	61	201
233	61	200
234	61	200
235	61	200
236	62	199
237	62	199
238	62	199
239	62	198
240	63	198
241	63	198
242	63	198
243	63	197
244	64	197
245	64	197
246	64	196
247	64	196
248	65	196
249	65	195
250	65	195
251	65	195
252	66	195
253	66	194
254	66	194
255	66	194
256	67	194
257	67	193
258	67	193
259	67	193
260	68	192
261	68	192
262	68	192
263	68	192
264	69	191
265	69	191
266	69	191
267	69	190
268	70	190
269	70	190
270	70	190
271	70	189
272	71	189
273	71	189
274	71	188
275	71	188
276	72	188
277	72	187
278	72	187
279	72	187
280	73	187
281	73	186
282	73	186
283	73	186
284	74	185
285	74	185
286	74	185
287	74	185
288	75	184
289	75	184
290	75	184
291	75	183
292	76	183
293	76	183
294	76	183
295	76	182
296	77	182
297	77	182
298	77	181
299	77	181
300	78	181
301	78	181
302	78	180
303	78	180
304	79	180
305	79	179
306	79	179
307	79	179
308	80	179
309	80	178
310	80	178
311	80	178
312	81	177
313	81	177
314	81	177
315	81	176
316	82	176
317	82	176
318	82	176
319	82	175
320	83	175
